altura,peso,idade
1.56,44.3,64
1.59,105.2,63
1.41,42.6,76
1.46,83.4,77
1.57,97.3,88
1.97,80.4,11
1.63,102.2,23
1.61,109.9,35
1.99,117.5,70
1.69,62.6,30
1.68,41.7,89
1.77,64.8,28
1.67,108.1,87
1.49,87.3,17
1.87,72.8,54
1.97,53.7,11
1.76,119.6,56
1.89,78.7,31
1.45,119.6,42
1.9,63.1,14
1.61,55.8,89
1.77,64.0,58
1.95,95.7,21
1.51,109.2,43
1.47,50.8,56
1.88,87.6,52
1.69,84.8,32
1.47,103.8,77
1.66,83.6,52
1.95,102.3,19
1.97,91.9,87
1.94,92.9,77
1.88,106.3,71
1.44,49.2,45
1.63,103.6,65
1.68,63.5,14
2.0,97.2,54
1.78,102.5,27
1.96,98.4,21
1.8,95.6,71
1.74,67.6,18
1.97,85.8,38
1.88,91.2,78
2.0,47.4,74
1.89,89.7,52
1.69,107.7,73
1.78,55.7,90
1.8,66.4,72
1.47,88.0,64
1.49,84.8,24
1.77,116.5,78
1.89,79.0,35
1.96,103.2,83
1.73,45.4,27
1.75,113.8,39
1.66,106.7,54
1.99,63.6,73
1.7,108.8,15
1.64,59.5,59
1.95,96.1,15
1.51,66.0,47
1.57,110.2,21
1.75,47.2,49
1.7,51.5,88
1.6,93.4,64
1.72,56.5,22
1.51,76.3,68
1.74,86.5,79
1.57,49.8,41
1.71,100.8,21
1.52,102.3,43
1.99,55.0,81
1.92,94.8,11
1.44,98.9,69
1.71,96.9,51
1.7,118.3,14
1.51,84.5,15
1.81,97.0,60
1.71,69.5,11
1.47,56.2,77
1.5,60.4,47
1.96,102.3,55
1.71,88.1,82
1.63,52.6,55
1.9,103.5,57
1.55,119.7,57
1.56,115.6,82
1.84,103.7,83
1.49,44.8,17
1.63,54.5,66
1.74,86.4,59
1.58,108.8,18
1.79,84.4,13
1.8,60.9,10
1.65,115.9,51
1.41,88.9,37
1.71,96.5,78
1.85,107.9,64
1.69,71.7,64
1.6,58.6,47
1.86,98.2,70
1.71,96.6,17
1.53,108.0,41
1.77,81.2,19
1.84,87.6,81
1.87,44.5,58
1.87,69.8,12
1.43,80.6,81
1.56,57.0,29
1.89,119.8,50
1.81,94.5,15
1.68,67.3,36
1.93,72.9,43
1.66,75.4,52
1.51,42.0,76
1.46,63.1,49
1.81,71.9,59
1.66,87.2,41
1.99,114.0,15
1.9,81.8,47
1.98,71.2,84
1.91,97.6,30
1.42,73.3,46
1.48,103.2,59
1.43,47.9,33
1.8,110.9,69
1.91,84.2,28
1.68,117.7,35
1.61,82.3,82
1.93,87.2,25
1.52,49.2,44
1.96,47.4,78
1.79,58.0,46
1.82,112.4,34
1.98,82.9,55
1.55,102.3,77
1.84,48.8,79
1.67,112.8,84
1.8,68.0,22
1.77,70.5,79
1.95,98.5,52
1.99,119.1,86
1.92,49.9,47
1.95,65.5,24
1.46,48.5,13
1.98,85.1,82
1.84,43.7,28
1.88,108.2,71
1.61,95.2,57
1.56,110.1,56
1.98,67.5,72
1.45,103.0,29
1.61,79.5,37
1.82,105.6,56
1.65,95.2,22
1.88,83.0,65
1.94,84.2,29
1.99,92.8,57
1.57,96.3,46
1.64,119.0,38
1.97,60.1,82
1.44,91.3,40
1.94,49.0,67
1.75,77.5,47
1.68,92.1,63
1.84,57.7,43
1.73,85.1,71
1.58,72.8,54
1.96,118.3,16
1.92,89.5,11
1.55,61.5,48
1.89,58.2,62
1.68,41.3,22
1.59,89.3,28
1.81,53.5,61
1.91,119.2,70
1.66,58.2,32
1.4,74.6,44
1.96,57.6,34
1.94,115.6,51
1.98,81.0,40
1.42,105.3,45
1.54,48.0,73
1.96,55.0,74
1.81,45.6,29
1.66,61.6,25
1.85,67.6,84
1.83,114.0,84
1.99,68.4,30
1.53,76.5,39
1.52,81.2,86
1.78,102.9,62
1.71,110.9,88
1.71,51.9,73
1.7,106.4,58
1.64,101.8,56
1.55,46.8,64
1.68,75.5,28
1.73,79.0,32
1.82,91.9,90
1.96,82.5,40
1.84,45.7,77
1.41,77.0,40
1.79,59.1,30
1.45,52.6,87
1.46,96.1,71
1.44,80.1,10
1.5,113.6,23
1.63,60.9,58
1.84,50.2,49
1.66,79.7,76
1.71,50.5,38
1.58,95.8,56
1.6,116.3,16
1.93,68.2,64
1.86,110.5,14
1.52,45.3,69
1.56,116.2,37
1.53,108.0,10
1.76,99.9,81
1.72,45.2,27
1.71,71.2,67
1.9,71.0,27
1.41,107.6,85
1.47,41.8,21
1.76,93.0,52
1.49,65.6,23
1.73,112.5,84
1.58,41.9,57
1.58,89.7,10
1.55,109.1,19
1.42,48.0,50
1.47,45.1,89
1.98,84.2,85
1.67,80.1,38
1.85,113.3,73
1.45,102.4,16
1.56,114.0,72
1.5,115.1,45
1.86,116.1,15
1.63,82.1,86
1.51,109.7,58
1.61,101.7,14
1.69,43.2,88
1.96,76.9,24
1.98,98.4,80
1.45,62.8,90
1.5,95.3,67
1.84,78.2,52
1.45,62.2,14
1.59,118.1,90
1.46,91.5,42
1.94,58.8,13
1.87,109.9,55
1.56,82.3,34
1.53,40.4,48
1.85,111.3,41
1.7,105.9,43
2.0,75.3,17
1.65,52.1,86
1.67,64.4,75
1.43,64.7,75
1.63,103.3,52
1.97,97.5,40
1.49,65.5,51
1.74,105.0,88
1.56,79.7,17
1.95,107.5,17
1.73,116.3,51
1.55,40.2,25
1.84,81.7,15
1.63,97.6,16
1.47,45.5,63
1.9,56.3,80
1.76,103.6,76
1.53,117.9,82
1.42,116.7,38
1.98,40.4,12
1.84,40.6,28
1.73,97.6,83
1.89,47.5,26
1.88,96.8,54
1.71,66.1,89
1.75,111.5,41
1.82,96.9,24
1.79,45.0,37
1.98,95.7,45
1.91,100.1,85
1.68,100.4,62
1.41,65.9,76
1.96,103.9,31
1.69,66.8,44
1.53,93.4,69
1.85,87.6,74
1.47,46.1,35
1.99,62.7,82
1.76,66.4,47
1.55,85.3,29
1.87,42.6,72
1.88,111.9,49
1.98,93.2,24
1.55,83.6,26
1.42,119.3,48
1.87,93.0,60
1.8,68.5,25
1.87,49.3,65
1.42,65.0,82
1.95,81.3,72
1.57,99.6,47
1.66,107.5,11
1.94,105.7,13
1.4,68.6,83
1.95,105.2,31
1.48,95.3,68
1.51,79.0,28
1.53,112.5,30
1.74,51.2,44
2.0,72.5,22
1.97,108.7,38
1.63,48.4,60
1.65,65.8,24
1.8,86.4,21
1.42,61.2,20
1.75,80.3,29
1.86,106.2,24
2.0,76.4,13
1.49,51.5,20
1.82,113.4,24
1.42,107.4,83
1.52,71.1,10
1.82,41.4,13
1.99,45.9,29
1.93,41.7,39
1.5,59.7,25
1.44,60.4,30
2.0,61.7,29
1.87,85.0,82
1.75,94.3,46
1.85,97.3,81
1.53,93.7,59
1.79,103.9,71
1.85,110.8,21
1.52,102.0,80
1.82,63.3,25
1.66,72.1,81
1.8,98.3,73
1.67,94.8,57
1.84,82.7,80
1.61,78.0,19
1.89,52.5,61
1.72,117.5,45
1.57,116.7,32
1.77,74.0,78
1.88,80.7,61
1.61,102.0,48
1.99,77.6,72
1.82,86.8,79
1.97,58.8,50
1.79,72.0,88
1.89,43.1,90
1.81,44.7,47
1.66,63.1,13
1.64,49.4,63
1.81,51.1,15
1.58,51.4,77
1.72,99.3,40
1.7,84.1,26
1.43,115.6,38
1.93,51.7,73
1.73,77.3,63
1.57,71.5,51
1.55,48.8,41
1.73,118.3,58
1.89,51.6,31
1.4,79.6,13
2.0,72.2,83
1.65,110.5,87
1.44,66.9,55
1.42,55.8,44
1.79,40.6,26
1.87,104.0,48
1.71,79.1,52
1.62,63.1,83
1.71,58.4,46
1.82,102.4,81
1.73,55.6,10
1.49,91.1,35
1.41,78.5,56
1.8,116.2,55
1.91,97.9,41
1.52,74.6,37
1.59,116.9,66
1.42,41.7,10
1.91,60.7,76
1.5,67.0,27
1.94,54.7,81
1.95,110.5,18
1.68,104.1,22
1.47,106.7,14
1.97,60.0,53
1.5,82.5,90
1.9,84.8,53
1.91,87.3,25
1.71,66.4,38
2.0,118.9,65
1.42,86.1,46
1.88,67.1,57
1.52,87.0,42
1.84,57.9,54
1.61,109.7,62
1.8,103.0,46
1.51,97.6,43
1.81,81.1,39
1.96,88.0,54
1.44,66.2,33
1.45,57.8,60
1.48,43.2,14
1.91,63.1,63
1.63,64.7,87
1.74,45.1,61
1.41,105.4,77
1.49,115.0,39
1.71,101.1,21
1.47,76.7,87
1.43,119.6,88
1.8,105.6,58
1.61,114.6,58
1.43,106.5,44
1.94,63.0,36
1.79,48.9,18
1.58,85.3,61
1.77,109.5,46
1.62,105.0,70
1.4,100.2,57
1.8,53.5,26
1.43,70.7,70
1.98,93.2,59
1.88,117.8,10
1.81,107.8,70
1.57,49.0,19
1.8,70.0,43
1.62,56.6,54
1.64,88.0,80
1.44,113.4,85
1.61,100.5,52
1.6,46.2,15
1.88,48.5,54
1.51,108.5,43
1.49,76.4,82
1.44,70.5,60
1.8,55.5,89
1.57,95.3,26
1.51,79.0,76
1.66,113.8,69
1.65,89.9,39
1.68,45.1,69
1.61,87.7,35
1.41,56.9,90
1.67,84.6,27
1.7,50.5,84
1.49,69.9,32
1.79,56.9,54
1.71,90.8,19
1.9,44.1,14
1.82,112.1,20
1.73,65.0,67
1.43,107.4,56
1.41,83.3,63
1.53,112.9,72
1.64,43.1,45
1.7,77.1,81
1.47,57.3,77
1.68,116.0,11
1.45,79.1,44
1.69,81.3,47
1.68,49.5,52
1.78,71.3,45
1.92,45.2,66
1.99,91.6,62
1.52,61.6,81
1.69,40.7,55
1.45,115.4,89
1.75,45.0,64
1.92,54.4,10
1.86,103.6,16
1.56,110.8,46
1.81,56.4,30
1.59,96.3,42
1.83,47.5,87
1.98,113.6,47
1.82,42.1,33
1.53,57.1,31
1.6,49.4,10
1.63,87.3,62
1.73,116.7,78
1.67,117.1,74
1.59,61.6,48
1.61,115.6,69
1.9,111.9,69
1.93,57.3,69
1.69,105.3,65
1.4,114.9,77
1.74,77.7,30
1.92,59.5,74
1.92,60.1,50
1.52,52.8,39
1.47,70.6,28
1.49,100.4,87
1.45,79.0,58
1.54,71.4,26
1.6,47.1,35
1.81,86.0,16
1.77,117.9,76
1.61,117.5,10
1.55,81.3,42
1.92,52.5,20
1.94,93.7,21
1.81,44.4,83
1.99,59.2,51
1.94,87.6,76
1.74,42.7,52
1.53,111.9,39
1.43,62.5,46
1.97,65.7,33
1.52,69.6,90
1.72,81.1,84
1.59,90.8,27
1.49,114.6,61
1.54,85.8,51
1.53,91.3,38
1.77,108.5,22
1.54,112.0,43
1.46,98.0,20
1.59,98.3,72
1.85,86.5,68
1.77,115.9,49
1.91,99.2,84
1.61,88.6,35
1.44,83.9,85
1.53,115.8,74
1.82,83.7,64
1.9,76.4,82
1.49,70.7,21
1.89,111.8,21
1.77,55.3,83
1.51,40.8,57
1.6,96.9,28
1.89,106.5,59
1.59,101.8,33
1.91,55.1,44
1.85,106.3,13
1.87,42.7,25
1.64,118.3,76
1.97,46.7,81
1.63,45.4,84
1.41,77.9,30
1.92,90.9,82
1.64,95.0,51
1.87,58.1,81
1.42,58.5,88
1.98,116.7,73
1.65,88.6,71
1.62,89.7,54
1.97,64.2,43
1.84,45.1,20
1.85,105.9,36
1.96,94.5,11
1.93,67.3,44
1.63,86.1,26
1.74,110.9,15
1.41,48.8,61
1.45,58.0,39
1.65,118.5,75
1.85,100.2,37
1.56,70.3,20
1.52,78.3,81
1.76,49.1,38
1.9,93.1,16
1.89,111.0,17
1.86,53.8,15
1.69,82.1,29
1.88,116.7,32
1.74,40.0,43
1.49,60.9,55
1.82,56.3,59
1.41,78.5,59
1.86,68.2,71
1.57,45.2,45
1.49,79.3,18
1.54,105.5,47
1.44,67.2,21
1.49,56.3,11
1.61,43.2,37
1.43,99.9,32
1.59,78.2,84
1.54,118.1,69
1.41,112.2,50
1.42,54.7,60
1.93,115.8,60
1.76,44.2,15
1.98,43.0,72
1.92,91.5,88
1.63,96.4,56
1.97,68.3,32
1.65,112.3,71
1.69,69.1,34
1.93,105.1,23
1.87,78.6,41
1.4,55.5,36
1.61,113.7,89
1.93,95.8,83
1.96,40.6,56
1.5,71.3,84
1.88,109.0,44
1.49,92.5,58
1.68,44.5,54
1.92,53.6,70
1.95,51.0,81
1.85,76.1,13
1.74,112.9,69
1.73,113.2,58
1.63,54.5,44
1.77,67.4,86
1.6,104.5,50
1.76,64.7,70
1.46,110.3,87
1.91,85.0,45
1.66,45.6,70
1.75,59.7,36
1.62,105.1,10
1.86,106.4,89
1.98,116.3,78
1.73,44.0,80
1.91,90.6,81
1.91,94.7,72
1.77,92.1,28
1.75,59.2,36
1.72,82.2,86
1.91,88.5,10
1.73,75.7,42
1.78,96.2,35
1.97,57.8,30
1.62,62.6,35
1.84,75.2,32
1.91,101.2,76
1.65,47.4,17
1.64,113.8,30
1.67,43.2,80
1.83,56.8,52
1.79,101.0,31
1.45,65.0,57
1.87,48.1,52
1.56,45.1,81
1.98,43.6,11
1.55,62.7,79
1.55,56.3,10
1.47,89.9,87
1.63,109.2,74
1.49,45.3,90
1.92,63.3,48
1.84,119.1,86
1.66,67.0,35
1.91,103.4,15
1.82,107.1,69
1.43,82.7,18
1.47,91.4,79
1.41,104.2,44
1.75,109.7,70
1.96,111.0,78
1.82,45.7,13
1.91,59.2,74
1.58,118.3,52
1.94,53.8,70
1.59,102.4,71
1.68,43.5,62
1.6,106.5,51
1.74,76.6,39
1.83,95.9,14
1.96,102.7,54
1.89,77.5,43
1.94,86.5,61
1.59,115.0,72
2.0,80.8,84
1.71,95.6,45
1.52,119.2,27
1.44,66.7,15
1.52,110.1,23
1.42,89.5,15
1.93,98.5,53
1.68,80.5,56
1.49,106.3,57
1.73,116.9,54
2.0,115.6,13
1.81,105.3,59
1.49,45.2,72
1.83,111.8,56
1.81,88.2,39
1.66,49.8,61
1.45,81.8,15
1.69,77.8,61
1.82,80.5,24
1.93,65.2,33
1.89,74.3,13
1.64,77.9,46
1.65,51.7,37
1.55,100.6,11
1.61,73.0,43
1.5,68.9,51
1.78,85.2,34
1.72,57.2,86
1.86,49.2,35
1.91,118.3,78
1.91,98.4,44
1.97,98.4,29
1.57,54.4,52
1.53,98.7,29
1.84,46.3,43
1.45,119.7,52
1.88,67.4,78
1.87,40.7,64
1.43,63.5,64
1.99,92.5,23
1.96,87.5,50
1.43,68.6,12
1.74,76.6,34
1.61,103.5,39
1.8,105.6,53
1.97,99.0,54
1.67,95.5,48
1.85,103.2,89
1.52,105.2,24
1.75,40.7,22
2.0,75.8,72
1.54,63.6,47
1.79,65.2,26
1.8,104.2,45
1.68,80.7,26
1.58,81.0,28
1.45,84.8,66
1.45,63.6,44
1.64,79.1,71
1.69,69.4,84
1.41,80.1,79
1.8,108.1,18
2.0,64.4,45
1.72,81.4,31
1.7,78.7,16
1.6,97.7,27
1.43,48.3,46
1.76,61.3,49
1.43,57.0,88
1.7,47.4,53
1.68,96.0,29
1.53,90.4,37
1.82,61.1,90
1.42,88.5,30
1.82,110.4,64
1.44,78.0,13
1.5,100.4,31
1.6,60.9,77
1.96,40.1,10
1.51,95.6,48
1.44,50.4,58
1.49,40.7,11
1.63,74.3,85
1.73,45.3,67
1.88,116.5,73
1.94,113.4,64
1.6,45.6,53
1.43,97.8,69
1.47,49.8,34
1.47,97.5,87
1.95,112.8,26
1.73,104.9,57
1.57,53.8,31
1.76,88.2,18
1.47,109.2,69
1.65,72.7,79
1.9,72.1,56
1.7,52.0,63
1.76,107.7,69
1.59,110.6,20
1.44,83.9,55
1.8,113.8,47
1.73,99.2,16
1.62,54.3,53
1.8,95.4,36
1.96,60.7,24
1.97,61.4,75
1.51,67.0,28
1.87,75.8,32
1.81,41.4,39
1.59,93.8,13
1.71,82.1,54
1.74,111.7,24
1.98,86.1,37
1.53,76.2,39
1.96,94.5,39
1.96,53.4,46
1.52,72.2,38
1.92,115.3,49
1.52,96.4,40
1.53,67.7,41
1.59,74.6,57
1.7,100.3,58
1.94,116.9,20
1.51,92.8,33
1.99,42.1,64
1.77,105.4,46
1.46,86.7,33
1.5,87.3,25
1.78,101.5,66
1.7,52.7,43
1.8,100.2,51
1.46,58.2,16
1.9,111.9,46
1.8,68.6,36
1.91,71.3,32
1.5,85.2,74
1.45,98.2,58
1.74,86.9,26
1.66,105.6,32
1.41,104.8,85
1.95,107.1,25
1.77,76.2,50
1.87,102.2,87
1.55,80.7,29
2.0,51.4,26
1.58,117.7,56
1.99,86.1,11
1.69,100.1,68
1.86,114.2,81
1.6,114.3,50
1.5,105.5,39
1.61,95.7,47
1.65,107.9,73
1.51,90.5,19
1.83,107.9,46
1.61,59.8,76
1.63,76.1,88
1.82,99.4,43
1.71,82.5,10
1.75,106.1,40
1.54,54.5,43
1.66,68.1,51
1.42,54.0,28
1.94,73.1,83
1.49,48.5,84
1.85,71.8,30
1.48,118.7,44
1.78,96.3,84
1.51,46.7,83
1.67,46.6,84
1.43,92.8,32
1.87,54.2,50
1.41,113.0,24
1.63,79.8,84
1.74,88.8,76
1.95,100.6,61
1.9,114.9,10
1.97,96.6,74
1.74,65.6,70
1.69,96.5,64
1.65,95.4,88
1.44,46.2,89
1.48,54.4,25
1.48,110.8,41
1.78,49.6,10
1.82,101.5,25
1.56,115.0,13
1.53,57.9,16
1.72,68.3,67
1.97,85.7,25
1.9,50.2,70
1.63,77.5,28
1.94,59.3,32
1.74,56.5,27
1.6,62.5,18
1.82,66.6,88
1.78,118.3,67
1.65,103.2,15
1.59,49.1,56
1.67,115.5,56
1.88,56.9,33
1.98,88.6,66
1.46,71.6,74
1.89,70.6,64
1.74,82.6,12
1.59,81.0,59
1.48,102.0,45
1.71,119.4,28
1.41,66.1,81
1.95,91.0,88
1.93,102.0,42
1.5,104.5,72
1.69,95.7,67
1.86,58.1,23
1.93,115.7,33
1.54,100.5,71
1.79,45.2,72
1.83,111.8,16
1.96,83.3,41
1.47,64.0,38
1.73,104.5,63
1.51,119.5,90
1.9,73.6,76
1.45,88.0,23
1.56,102.3,56
1.42,86.7,12
1.95,113.8,14
1.87,78.3,12
1.71,110.6,16
1.84,94.2,85
1.89,111.0,48
1.84,117.2,29
1.89,63.7,42
1.77,100.7,31
1.73,98.6,43
1.63,71.5,11
1.58,42.1,81
1.67,81.3,18
1.45,89.1,89
1.93,47.3,16
1.86,44.0,33
1.79,47.8,31
1.7,85.8,85
1.75,110.0,52
1.79,84.3,90
1.77,111.8,60
1.67,69.8,47
2.0,63.1,19
1.61,98.9,44
1.51,107.7,50
1.94,67.8,45
1.86,77.0,30
1.53,106.7,61
1.6,43.3,10
1.7,101.1,25
1.9,70.0,54
1.59,86.4,47
1.47,51.1,86
1.99,108.6,53
1.43,99.0,24
1.95,112.8,54
1.48,42.6,49
1.82,41.8,31
1.5,55.4,84
1.64,105.1,59
1.64,63.9,89
1.47,101.3,41
1.53,94.2,36
1.44,84.2,86
1.85,119.8,14
1.7,62.4,28
1.77,83.5,83
1.58,94.9,17
1.41,113.7,67
1.56,84.8,75
1.67,68.5,76
1.94,62.8,79
1.87,97.2,39
1.91,46.3,75
1.65,86.7,44
1.45,44.7,33
1.96,58.4,17
1.83,54.5,15
1.58,100.3,69
1.96,88.8,76
1.61,61.5,68
1.49,42.4,21
1.87,43.5,76
1.53,69.1,11
1.73,87.9,56
1.99,94.0,44
1.56,101.1,17
1.58,66.4,27
1.75,80.5,43
1.84,91.8,82
1.74,89.8,32
1.5,70.5,37
1.41,104.5,33
1.45,79.3,71
1.51,98.4,60
1.86,114.8,73
1.69,107.2,40
1.48,43.4,15
1.6,45.1,31
1.82,41.1,77
1.5,73.8,20
1.64,83.4,10
1.93,99.0,71
1.93,108.1,85
1.59,87.9,38
1.75,119.8,56
1.75,85.6,15
1.41,44.7,76
1.76,98.7,56
1.56,45.5,48
1.47,91.9,11
1.72,96.1,58
1.47,85.1,66
1.83,51.6,82
1.53,85.1,49
1.54,116.3,58
1.7,81.8,31
1.66,98.9,20
1.47,71.8,15
1.54,112.1,41
1.62,46.8,11
1.83,110.2,52
1.73,87.6,17
1.9,99.8,17
1.97,110.9,53
1.84,45.1,83
1.82,118.8,75
1.72,43.8,44
1.95,117.6,28
1.56,103.4,80
1.77,71.5,89
1.81,74.2,82
2.0,67.1,50
1.8,96.8,81
1.68,46.8,34
1.45,113.9,20
1.46,109.9,17
1.56,102.1,17
1.94,93.6,48
1.47,46.6,78
1.44,48.6,20
1.97,70.6,26
1.53,77.6,48
1.79,73.2,28
1.63,98.2,13
1.95,48.4,47
1.58,115.3,79
1.53,48.9,88
1.87,99.5,65
1.53,44.2,15
1.98,64.4,82
1.97,52.9,58
1.69,99.5,17
1.97,46.0,43
1.71,48.4,15
1.74,40.5,89
1.44,87.3,23
1.53,65.5,28
1.86,50.6,48
1.89,56.0,57
1.78,53.8,31
1.73,84.3,53
1.72,86.2,89
1.97,52.8,90
1.5,55.4,83
1.91,49.3,42
1.66,100.8,23
1.48,47.3,58
1.79,69.5,81
1.77,116.1,28
2.0,68.2,68
1.64,107.0,52
1.43,61.5,48
1.72,65.2,68
1.83,90.9,76
1.8,80.2,29
1.51,79.3,36
1.97,103.4,70
1.48,113.3,61
1.43,116.4,80
1.93,41.2,89
1.74,66.0,57
1.4,43.7,64
1.57,54.0,69
1.57,41.0,22
1.75,43.4,27
1.96,71.2,71
1.67,86.2,10
1.91,92.8,36
1.61,40.2,15
1.48,92.8,87
1.55,103.4,35
1.89,84.6,87
1.96,64.5,27
1.84,77.5,68
1.59,46.2,80
1.85,87.6,68
1.98,47.3,75
1.43,98.4,81
1.77,42.7,62
1.94,79.6,41
1.93,71.3,51
1.43,69.7,56
1.4,44.9,87
1.43,68.9,66
1.77,79.4,69
1.74,46.4,57
1.98,92.4,16
1.95,57.4,13
1.93,99.8,60
1.69,99.8,16
1.91,40.0,83
1.89,95.6,90
1.53,81.4,74
1.99,66.2,20
1.98,63.2,25
1.81,40.4,38
1.98,71.8,80
1.67,79.3,75
1.75,56.8,27
1.88,84.1,76
1.83,63.5,41
1.44,60.1,55
1.99,98.2,81
1.41,114.6,85
1.55,40.1,26
1.71,92.5,47
1.56,44.7,17
1.43,43.2,66
1.94,66.0,75
1.99,95.6,30
1.73,119.5,88
1.88,75.6,56
1.53,74.6,69
1.72,97.8,87
1.44,81.2,14
1.49,110.7,66
1.85,119.1,44
1.85,72.4,17
1.45,84.5,11
1.5,106.1,34
1.88,63.2,56
1.93,116.0,30
1.59,56.8,86
1.76,43.3,73
1.42,110.4,27
1.84,93.3,45
1.5,66.2,35
1.74,94.7,21
1.45,42.5,48
1.84,111.4,71
1.73,112.6,64
1.57,101.6,54
1.69,72.9,56
1.82,104.9,79
1.81,99.8,62
1.86,59.2,46
1.54,91.0,90
1.66,111.8,83
1.74,84.7,50
1.75,107.2,59
1.86,55.4,71
1.66,106.6,79
1.9,41.4,32
1.6,91.0,41
1.98,80.6,35
1.95,109.6,11
1.72,111.0,75
1.92,88.8,24
1.93,117.6,53
1.7,57.8,32
1.68,77.5,64
1.95,93.7,18
1.72,53.5,21
1.83,42.7,63
1.43,104.4,40
1.56,68.5,30
1.71,88.2,39
1.73,115.6,34
1.52,94.7,36
1.59,114.5,52
1.41,86.9,24
1.6,66.3,52
1.94,90.7,25
1.85,52.3,90
1.96,97.2,69
1.88,117.2,18
1.64,106.1,34
1.49,86.2,10
1.91,84.6,30
1.87,67.2,90
1.91,90.5,28
1.66,71.8,61
1.59,101.4,60
1.87,64.1,63
1.93,87.3,14
1.99,64.9,37
1.75,58.8,60
1.77,56.5,45
1.98,111.4,50
1.73,59.3,27
1.81,87.5,34
1.64,94.6,87
1.4,61.0,61
1.67,107.5,26
1.45,54.3,49
1.91,92.1,88
1.75,45.9,16
1.5,107.3,74
1.53,72.8,68
1.84,87.9,20
1.94,60.5,11
1.42,42.3,23
1.89,99.3,90
1.75,68.9,69
1.5,68.9,61
1.7,115.5,57
1.61,49.7,88
1.48,54.9,49
1.89,69.9,90
1.46,83.9,20
1.46,49.3,49
1.46,56.2,53
1.93,91.8,61
1.83,71.1,58
1.52,50.7,80
1.5,111.9,11
1.42,94.2,36
1.97,113.0,49
1.79,86.2,24
1.89,64.9,36
1.85,112.6,57
1.98,76.8,41
1.87,113.8,30
1.77,79.4,29
1.85,102.9,78
1.79,102.5,68
1.63,77.2,54
1.68,69.0,81
1.45,67.5,59
1.58,64.3,12
1.72,69.1,85
1.67,95.0,45
1.81,97.4,22
1.43,68.7,39
1.97,98.8,27
1.56,40.1,35
1.54,100.8,76
1.95,100.8,36
1.97,104.2,75
1.83,88.4,14
1.96,69.1,50
1.89,66.5,86
1.66,76.4,35
1.58,47.5,28
1.7,53.2,51
1.95,88.3,44
1.85,84.7,41
1.66,90.3,27
1.95,106.1,67
1.82,64.9,35
1.77,70.2,27
1.89,46.6,59
1.84,73.0,13
2.0,75.3,82
1.85,40.8,44
1.96,84.8,68
1.55,48.8,54
1.78,80.9,65
